Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Square Meters
1351018,1,9/12/2018,20180921,1592400,0,453,3,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,WWI Desktop PC1.80 E1800 Silver,Wide World Importers,Silver,$117.21 ,$229.90 ,303,Desktops,3,Computers,0
1351018,2,9/12/2018,20180921,1592400,0,1991,7,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,Fabrikam Microwave 1.6CuFt M1250 Silver,Fabrikam,Silver,$82.77 ,$179.99 ,803,Microwaves,8,Home Appliances,0
1351018,3,9/12/2018,20180921,1592400,0,1563,2,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,The Phone Company PDA Phone Unlocked 3.5 inches M530 White,The Phone Company,White,$123.24 ,$268.00 ,504,Smart phones & PDAs,5,Cell phones,0
1351018,4,9/12/2018,20180921,1592400,0,99,1,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Black,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,0
1351018,5,9/12/2018,20180921,1592400,0,1633,4,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,Contoso DVD 58 DVD Storage Binder M55 Silver,Contoso,Silver,$6.39 ,$13.89 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1351018,6,9/12/2018,20180921,1592400,0,1621,5,USD,Male,Bradley McClain,Ocean Park,WA,Washington,97044,United States,North America,8/8/1969,Contoso DVD Movies E100 Yellow,Contoso,Yellow,$6.62 ,$12.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1351020,1,9/12/2018,20180915,1730522,0,388,1,USD,Male,Simon Tomlinson,Summit,NJ,New Jersey,7901,United States,North America,6/17/1969,Adventure Works Laptop12 M1201 Blue,Adventure Works,Blue,$195.24 ,$382.95 ,301,Laptops,3,Computers,0
1351020,2,9/12/2018,20180915,1730522,0,1327,5,USD,Male,Simon Tomlinson,Summit,NJ,New Jersey,7901,United States,North America,6/17/1969,Contoso In front of Centrex L15 Black,Contoso,Black,$15.57 ,$46.99 ,501,Home & Office Phones,5,Cell phones,0
1351020,3,9/12/2018,20180915,1730522,0,1618,1,USD,Male,Simon Tomlinson,Summit,NJ,New Jersey,7901,United States,North America,6/17/1969,Contoso DVD Player M120 White,Contoso,White,$27.13 ,$58.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1351021,1,9/12/2018,20180914,1213022,0,1236,3,USD,Female,Bonnie Sterling,Houston,TX,Texas,77020,United States,North America,9/18/1970,"Fabrikam Social Videographer 1"" 25mm E400 Blue",Fabrikam,Blue,$95.85 ,$188.00 ,405,Camcorders,4,Cameras and camcorders,0
1351021,2,9/12/2018,20180914,1213022,0,530,1,USD,Female,Bonnie Sterling,Houston,TX,Texas,77020,United States,North America,9/18/1970,WWI LCD22 M2002 White,Wide World Importers,White,$205.09 ,$619.00 ,304,Monitors,3,Computers,0
1351023,1,9/12/2018,20180917,1583943,0,432,4,USD,Female,Clara Webb,Cambridge,MA,Massachusetts,2142,United States,North America,8/4/1938,Adventure Works Desktop PC1.80 ED182 Brown,Adventure Works,Brown,$254.86 ,$499.90 ,303,Desktops,3,Computers,0
1351026,1,9/12/2018,20180915,2056831,0,2024,2,USD,Male,Gano Royer,Chesterton,IN,Indiana,46304,United States,North America,7/23/1943,Litware Microwave 0.8CuFt E080 White,Litware,White,$48.43 ,$94.99 ,803,Microwaves,8,Home Appliances,0
1351026,2,9/12/2018,20180915,2056831,0,434,4,USD,Male,Gano Royer,Chesterton,IN,Indiana,46304,United States,North America,7/23/1943,Adventure Works Desktop PC2.30 MD230 White,Adventure Works,White,$275.46 ,$599.00 ,303,Desktops,3,Computers,0
1351026,3,9/12/2018,20180915,2056831,0,1129,5,USD,Male,Gano Royer,Chesterton,IN,Indiana,46304,United States,North America,7/23/1943,"Fabrikam SLR Camera 35"" X358 Pink",Fabrikam,Pink,$144.52 ,$436.20 ,402,Digital SLR Cameras,4,Cameras and camcorders,0
1351026,4,9/12/2018,20180915,2056831,0,1414,3,USD,Male,Gano Royer,Chesterton,IN,Indiana,46304,United States,North America,7/23/1943,The Phone Company Touch Screen Phones 5-Wire/Built-in M500 Black,The Phone Company,Black,$117.73 ,$256.00 ,503,Touch Screen Phones,5,Cell phones,0
1352000,1,9/13/2018,20180917,452924,0,1154,7,EUR,Male,Martin Werner,Zwickau,SN,Freistaat Sachsen,8033,Germany,Europe,11/21/1949,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Fabrikam,Blue,$330.66 ,$998.00 ,405,Camcorders,4,Cameras and camcorders,0
1352000,2,9/13/2018,20180917,452924,0,1703,2,EUR,Male,Martin Werner,Zwickau,SN,Freistaat Sachsen,8033,Germany,Europe,11/21/1949,SV Hand Games for kids E30 Silver,Southridge Video,Silver,$2.75 ,$5.39 ,701,Boxed Games,7,Games and Toys,0
1352000,3,9/13/2018,20180917,452924,0,67,1,EUR,Male,Martin Werner,Zwickau,SN,Freistaat Sachsen,8033,Germany,Europe,11/21/1949,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Black,$13.10 ,$25.69 ,106,Bluetooth Headphones,1,Audio,0
1352000,4,9/13/2018,20180917,452924,0,421,4,EUR,Male,Martin Werner,Zwickau,SN,Freistaat Sachsen,8033,Germany,Europe,11/21/1949,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Silver,$215.68 ,$469.00 ,303,Desktops,3,Computers,0
1352010,1,9/13/2018,20180917,1156927,0,1428,6,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,"The Phone Company Touch Screen Phones 26-1.4"" M250 Grey",The Phone Company,Grey,$123.24 ,$268.00 ,503,Touch Screen Phones,5,Cell phones,0
1352010,2,9/13/2018,20180917,1156927,0,152,2,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,Brown,$392.60 ,"$1,184.97 ",201,Televisions,2,TV and Video,0
1352012,1,9/13/2018,20180917,210267,0,1048,7,CAD,Female,Angela Reid,Petawawa,ON,Ontario,K8H 1P6,Canada,North America,11/9/1943,A. Datum SLR Camera X136 Silver,A. Datum,Silver,$141.47 ,$427.00 ,402,Digital SLR Cameras,4,Cameras and camcorders,0
1352016,1,9/13/2018,20180921,488381,0,530,4,EUR,Male,Thomas Gloeckner,Erding,BY,Freistaat Bayern,85423,Germany,Europe,7/3/1994,WWI LCD22 M2002 White,Wide World Importers,White,$205.09 ,$619.00 ,304,Monitors,3,Computers,0
1352024,1,9/13/2018,20180918,460245,0,1305,2,EUR,Female,Sophia Vogler,Beedenbostel,NI,Niedersachsen,29355,Germany,Europe,5/6/1988,Contoso Lens Adapter M450 Silver,Contoso,Silver,$31.27 ,$68.00 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
1352024,2,9/13/2018,20180918,460245,0,1583,3,EUR,Female,Sophia Vogler,Beedenbostel,NI,Niedersachsen,29355,Germany,Europe,5/6/1988,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,$6.39 ,$13.89 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1352026,1,9/13/2018,20180918,1706876,0,2097,2,USD,Male,Ron Williams,Boston,MA,Massachusetts,2114,United States,North America,2/25/1982,Contoso Water Heater 4.0GPM M1250 Green,Contoso,Green,$363.75 ,$791.00 ,804,Water Heaters,8,Home Appliances,0
1352026,2,9/13/2018,20180918,1706876,0,2511,3,USD,Male,Ron Williams,Boston,MA,Massachusetts,2114,United States,North America,2/25/1982,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,$2.07 ,$4.06 ,505,Cell phones Accessories,5,Cell phones,0
1352026,3,9/13/2018,20180918,1706876,0,79,1,USD,Male,Ron Williams,Boston,MA,Massachusetts,2114,United States,North America,2/25/1982,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,White,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,0
1352026,4,9/13/2018,20180918,1706876,0,792,1,USD,Male,Ron Williams,Boston,MA,Massachusetts,2114,United States,North America,2/25/1982,Contoso Enhanced Capacity Battery M800 White,Contoso,White,$12.83 ,$27.90 ,308,Computers Accessories,3,Computers,0
1353003,1,9/14/2018,20180920,2029781,0,1554,3,USD,Male,Jaxon Grieve,New York,NY,New York,10011,United States,North America,7/7/1991,The Phone Company PDA GPS Phone 3.7 inch M930 Silver,The Phone Company,Silver,$137.04 ,$298.00 ,504,Smart phones & PDAs,5,Cell phones,0
1353005,1,9/14/2018,20180921,615131,0,2087,6,EUR,Male,Christian Cotuand,TREMBLAY-EN-FRANCE,IL,Île-de-France,93290,France,Europe,11/15/1968,Contoso Water Heater 4.0GPM M1250 White,Contoso,White,$363.75 ,$791.00 ,804,Water Heaters,8,Home Appliances,0
1353005,2,9/14/2018,20180921,615131,0,12,2,EUR,Male,Christian Cotuand,TREMBLAY-EN-FRANCE,IL,Île-de-France,93290,France,Europe,11/15/1968,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,$35.72 ,$77.68 ,101,MP4&MP3,1,Audio,0
1353005,4,9/14/2018,20180921,615131,0,1578,1,EUR,Male,Christian Cotuand,TREMBLAY-EN-FRANCE,IL,Île-de-France,93290,France,Europe,11/15/1968,SV DVD Recorder L210 Silver,Southridge Video,Silver,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1353006,1,9/14/2018,20180921,951740,0,1626,7,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso DVD Recorder L240 Gold,Contoso,Gold,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1353006,2,9/14/2018,20180921,951740,0,1633,6,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso DVD 58 DVD Storage Binder M55 Silver,Contoso,Silver,$6.39 ,$13.89 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1353006,3,9/14/2018,20180921,951740,0,2071,6,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso Microwave 0.9CuFt E0090 Grey,Contoso,Grey,$50.98 ,$99.99 ,803,Microwaves,8,Home Appliances,0
1353006,4,9/14/2018,20180921,951740,0,536,3,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,WWI LCD17 E205 White,Wide World Importers,White,$50.47 ,$99.00 ,304,Monitors,3,Computers,0
1353006,5,9/14/2018,20180921,951740,0,1809,2,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,MGS Bicycle Board Games2009 E165,Tailspin Toys,Blue,$16.31 ,$32.00 ,702,Download Games,7,Games and Toys,0
1353006,6,9/14/2018,20180921,951740,0,1161,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Fabrikam Business Videographer 1/2'' 3mm M500 Black,Fabrikam,Black,$404.68 ,$880.00 ,405,Camcorders,4,Cameras and camcorders,0
1353010,1,9/14/2018,20180920,348440,0,102,5,CAD,Female,Sixta Perkins,Calgary,AB,Alberta,T2V 2W2,Canada,North America,8/14/1949,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Silver,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,0
1353012,1,9/14/2018,20180918,451706,0,1605,2,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,SV DVD 15-Inch Player Portable L200 Black,Southridge Video,Black,$96.08 ,$289.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1353012,2,9/14/2018,20180918,451706,0,1505,1,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,The Phone Company Smart phones 6-LINE SCREEN M21 Pink,The Phone Company,Pink,$105.77 ,$230.00 ,504,Smart phones & PDAs,5,Cell phones,0
1353012,3,9/14/2018,20180918,451706,0,450,1,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,WWI Desktop PC2.33 X2330 Brown,Wide World Importers,Brown,$304.48 ,$919.00 ,303,Desktops,3,Computers,0
1353012,4,9/14/2018,20180918,451706,0,1618,2,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,Contoso DVD Player M120 White,Contoso,White,$27.13 ,$58.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1353012,5,9/14/2018,20180918,451706,0,430,1,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,$137.63 ,$269.95 ,303,Desktops,3,Computers,0
1353012,6,9/14/2018,20180918,451706,0,1236,3,EUR,Female,Lena Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,12/7/1963,"Fabrikam Social Videographer 1"" 25mm E400 Blue",Fabrikam,Blue,$95.85 ,$188.00 ,405,Camcorders,4,Cameras and camcorders,0
1353015,1,9/14/2018,20180922,1119510,0,456,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,WWI Desktop PC2.30 M2300 White,Wide World Importers,White,$257.06 ,$559.00 ,303,Desktops,3,Computers,0
1353015,2,9/14/2018,20180922,1119510,0,1685,2,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV Hand Games for kids E30 Yellow,Southridge Video,Yellow,$2.75 ,$5.39 ,701,Boxed Games,7,Games and Toys,0
1353019,1,9/14/2018,20180920,347011,0,2492,1,CAD,Female,Jenny Lau,Barriere,BC,British Columbia,V0E 1E0,Canada,North America,5/14/1953,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,White,$12.74 ,$24.99 ,505,Cell phones Accessories,5,Cell phones,0
1353019,2,9/14/2018,20180920,347011,0,1641,2,CAD,Female,Jenny Lau,Barriere,BC,British Columbia,V0E 1E0,Canada,North America,5/14/1953,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,$5.82 ,$12.66 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1354002,1,9/15/2018,20180920,1206948,0,2051,7,USD,Male,Kenneth Scaife,Washington,DC,Washington DC,20007,United States,North America,7/13/1935,Litware Microwave 1.6CuFt M125 Blue,Litware,Blue,$82.77 ,$179.99 ,803,Microwaves,8,Home Appliances,0
1354002,2,9/15/2018,20180920,1206948,0,1383,6,USD,Male,Kenneth Scaife,Washington,DC,Washington DC,20007,United States,North America,7/13/1935,Contoso Dual Handset Cordless Phone System E20 Grey,Contoso,Grey,$6.62 ,$12.99 ,501,Home & Office Phones,5,Cell phones,0
1354003,1,9/15/2018,20180919,1737854,0,1023,2,USD,Male,Mark Jackson,Dothan,AL,Alabama,36303,United States,North America,7/23/1990,A. Datum Advanced Digital Camera M300 Green,A. Datum,Green,$86.68 ,$188.50 ,401,Digital Cameras,4,Cameras and camcorders,0
1354003,2,9/15/2018,20180919,1737854,0,2342,4,USD,Male,Mark Jackson,Dothan,AL,Alabama,36303,United States,North America,7/23/1990,Litware Floor Lamp X1015 Blue,Litware,Blue,$210.72 ,$635.99 ,806,Lamps,8,Home Appliances,0
1354003,3,9/15/2018,20180919,1737854,0,1646,5,USD,Male,Mark Jackson,Dothan,AL,Alabama,36303,United States,North America,7/23/1990,Contoso DVD 9-Inch Player Portable M300 Black,Contoso,Black,$73.57 ,$159.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1354004,1,9/15/2018,20180922,1284244,0,725,2,USD,Female,Rebecca Conboy,New York,NY,New York,10016,United States,North America,10/21/1961,Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White,Proseware,White,$87.37 ,$190.00 ,306,"Printers, Scanners & Fax",3,Computers,0
1354004,2,9/15/2018,20180922,1284244,0,451,1,USD,Female,Rebecca Conboy,New York,NY,New York,10016,United States,North America,10/21/1961,WWI Desktop PC2.30 M2300 Silver,Wide World Importers,Silver,$257.06 ,$559.00 ,303,Desktops,3,Computers,0
1354006,1,9/15/2018,20180919,2091678,0,27,4,USD,Male,Vegar Ali,Wilmington,DE,Delaware,19867,United States,North America,4/9/1946,Contoso 16GB Mp5 Player M1600 White,Contoso,White,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,0
1354007,1,9/15/2018,20180920,2072900,0,1659,3,USD,Female,Melinda Patino,Los Angeles,CA,California,90014,United States,North America,8/20/1935,Contoso DVD 14-Inch Player Portable L100 White,Contoso,White,$86.14 ,$259.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1354007,2,9/15/2018,20180920,2072900,0,64,2,USD,Female,Melinda Patino,Los Angeles,CA,California,90014,United States,North America,8/20/1935,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Silver,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,0
1354007,3,9/15/2018,20180920,2072900,0,1979,3,USD,Female,Melinda Patino,Los Angeles,CA,California,90014,United States,North America,8/20/1935,Litware Refrigerator 3.2CuFt E160 Orange,Litware,Orange,$142.75 ,$279.99 ,802,Refrigerators,8,Home Appliances,0
1354007,4,9/15/2018,20180920,2072900,0,2111,3,USD,Female,Melinda Patino,Los Angeles,CA,California,90014,United States,North America,8/20/1935,Contoso Water Heater 4.3GPM M1250 Red,Contoso,Red,$403.53 ,$877.50 ,804,Water Heaters,8,Home Appliances,0
1354007,5,9/15/2018,20180920,2072900,0,2484,8,USD,Female,Melinda Patino,Los Angeles,CA,California,90014,United States,North America,8/20/1935,Litware 18'' Oscillating Pedestal Fan M145 Pink,Litware,Pink,$183.95 ,$400.00 ,808,Fans,8,Home Appliances,0
1354012,1,9/15/2018,20180918,347499,0,23,3,CAD,Male,Waldo King,Saskatoon,SK,Saskatchewan,S7K 1W8,Canada,North America,8/16/1945,Contoso 8GB MP3 Player new model M820 White,Contoso,White,$61.62 ,$134.00 ,101,MP4&MP3,1,Audio,0
1354018,1,9/15/2018,20180919,828028,0,708,7,EUR,Male,Chesney Pluimers,Merkelbeek,LI,Limburg,6447 EK,Netherlands,Europe,9/10/1959,Proseware Ink Jet Fax Machine E100 White,Proseware,White,$39.77 ,$78.00 ,306,"Printers, Scanners & Fax",3,Computers,0
1354018,2,9/15/2018,20180919,828028,0,1308,6,EUR,Male,Chesney Pluimers,Merkelbeek,LI,Limburg,6447 EK,Netherlands,Europe,9/10/1959,Contoso Digital Camera/Camcorder USB Cable E324 Purple,Contoso,Purple,$14.28 ,$28.00 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
1354020,1,9/15/2018,20180919,1820245,0,2495,2,USD,Female,Laurie Herlihy,New York,NY,New York,10004,United States,North America,6/16/1936,Headphone Adapter for Contoso Phone E130 Black,Contoso,Black,$5.09 ,$9.99 ,505,Cell phones Accessories,5,Cell phones,0
1354021,1,9/15/2018,20180920,1675644,0,53,6,USD,Male,Lloyd Morgan,Milledgeville,GA,Georgia,31061,United States,North America,4/21/1948,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,0
1354021,2,9/15/2018,20180920,1675644,0,1461,3,USD,Male,Lloyd Morgan,Milledgeville,GA,Georgia,31061,United States,North America,4/21/1948,Contoso Touch Screen Phones Capacitive M908 Black,Contoso,Black,$141.64 ,$308.00 ,503,Touch Screen Phones,5,Cell phones,0
1354022,1,9/15/2018,20180918,1629123,0,2514,2,USD,Male,Daniel Robinson,Arlington,VA,Virginia,22204,United States,North America,4/5/1980,Contoso Bluetooth Active Headphones L15 White,Contoso,White,$43.07 ,$129.99 ,505,Cell phones Accessories,5,Cell phones,0
1354022,2,9/15/2018,20180918,1629123,0,442,1,USD,Male,Daniel Robinson,Arlington,VA,Virginia,22204,United States,North America,4/5/1980,WWI Desktop PC1.80 E1801 Silver,Wide World Importers,Silver,$137.60 ,$269.90 ,303,Desktops,3,Computers,0
1354022,3,9/15/2018,20180918,1629123,0,103,6,USD,Male,Daniel Robinson,Arlington,VA,Virginia,22204,United States,North America,4/5/1980,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,0
1354022,4,9/15/2018,20180918,1629123,0,1458,7,USD,Male,Daniel Robinson,Arlington,VA,Virginia,22204,United States,North America,4/5/1980,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,$91.97 ,$200.00 ,503,Touch Screen Phones,5,Cell phones,0
1355000,1,9/16/2018,20180918,1608553,0,1736,5,USD,Male,Johnathon McGrail,Mandeville,LA,Louisiana,70448,United States,North America,5/24/1963,MGS Rise of Nations E112,Tailspin Toys,White,$14.28 ,$28.00 ,702,Download Games,7,Games and Toys,0
1355000,2,9/16/2018,20180918,1608553,0,136,1,USD,Male,Johnathon McGrail,Mandeville,LA,Louisiana,70448,United States,North America,5/24/1963,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,$160.93 ,$349.95 ,201,Televisions,2,TV and Video,0
1355000,3,9/16/2018,20180918,1608553,0,1521,2,USD,Male,Johnathon McGrail,Mandeville,LA,Louisiana,70448,United States,North America,5/24/1963,The Phone Company PDA Wifi 3.7-inch M250 Black,The Phone Company,Black,$142.56 ,$310.00 ,504,Smart phones & PDAs,5,Cell phones,0
1355000,4,9/16/2018,20180918,1608553,0,1148,1,USD,Male,Johnathon McGrail,Mandeville,LA,Louisiana,70448,United States,North America,5/24/1963,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,Fabrikam,Black,$215.15 ,$422.00 ,405,Camcorders,4,Cameras and camcorders,0
1356000,1,9/17/2018,20180920,2044631,0,1502,1,USD,Female,Maren Kleist,Kissimmee,FL,Florida,34746,United States,North America,5/10/1952,The Phone Company Smart phones 4 GB of Memory M300 Pink,The Phone Company,Pink,$109.91 ,$239.00 ,504,Smart phones & PDAs,5,Cell phones,0
1356001,1,9/17/2018,20180920,1352889,0,424,4,USD,Male,Ed Fudge,Miami,FL,Florida,33169,United States,North America,2/4/1962,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,$137.63 ,$269.95 ,303,Desktops,3,Computers,0
1356009,1,9/17/2018,20180919,865163,0,1802,4,EUR,Female,Teddie Stadhouders,Amsterdam,NH,Noord-Holland,1097 KK,Netherlands,Europe,1/10/1962,MGS Age of Mythology 2009 E158,Tailspin Toys,White,$16.31 ,$32.00 ,702,Download Games,7,Games and Toys,0
1357000,1,9/18/2018,20180923,995332,0,1612,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV DVD 12-Inch Player Portable M400 White,Southridge Video,White,$82.77 ,$179.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1357006,1,9/18/2018,20180921,1411591,0,749,6,USD,Female,Concetta Muniz,Fresno,CA,California,93711,United States,North America,6/15/1942,Contoso Laptop Starter Bundle M200 Black,Contoso,Black,$7.59 ,$16.50 ,308,Computers Accessories,3,Computers,0
1357006,2,9/18/2018,20180921,1411591,0,451,4,USD,Female,Concetta Muniz,Fresno,CA,California,93711,United States,North America,6/15/1942,WWI Desktop PC2.30 M2300 Silver,Wide World Importers,Silver,$257.06 ,$559.00 ,303,Desktops,3,Computers,0
1357006,3,9/18/2018,20180921,1411591,0,2051,7,USD,Female,Concetta Muniz,Fresno,CA,California,93711,United States,North America,6/15/1942,Litware Microwave 1.6CuFt M125 Blue,Litware,Blue,$82.77 ,$179.99 ,803,Microwaves,8,Home Appliances,0
1357006,4,9/18/2018,20180921,1411591,0,1327,2,USD,Female,Concetta Muniz,Fresno,CA,California,93711,United States,North America,6/15/1942,Contoso In front of Centrex L15 Black,Contoso,Black,$15.57 ,$46.99 ,501,Home & Office Phones,5,Cell phones,0
1357007,1,9/18/2018,20180922,1940708,0,2098,4,USD,Female,Melissa Souza,Mansfield,OH,Ohio,44902,United States,North America,9/9/1938,Contoso Water Heater 2.6GPM E0900 Green,Contoso,Green,$258.99 ,$508.00 ,804,Water Heaters,8,Home Appliances,0
1357009,1,9/18/2018,20180923,433811,0,1630,3,EUR,Male,Frank Vogel,Mötzing,BY,Freistaat Bayern,93099,Germany,Europe,5/23/1951,Contoso DVD 60 DVD Storage Binder L20 Black,Contoso,Black,$7.58 ,$22.89 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
1357009,2,9/18/2018,20180923,433811,0,1555,3,EUR,Male,Frank Vogel,Mötzing,BY,Freistaat Bayern,93099,Germany,Europe,5/23/1951,The Phone Company PDA GPS Phone 4.7 inch L950 Silver,The Phone Company,Silver,$121.93 ,$368.00 ,504,Smart phones & PDAs,5,Cell phones,0
1357009,3,9/18/2018,20180923,433811,0,2100,8,EUR,Male,Frank Vogel,Mötzing,BY,Freistaat Bayern,93099,Germany,Europe,5/23/1951,Contoso Water Heater 7.2GPM X1800 Silver,Contoso,Silver,$488.70 ,"$1,475.00 ",804,Water Heaters,8,Home Appliances,0
1357015,1,9/18/2018,20180921,1049490,0,86,4,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Black,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,0
1357015,2,9/18/2018,20180921,1049490,0,283,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso Home Theater System 5.1 Channel M1500 Brown,Contoso,Brown,$197.28 ,$429.00 ,203,Home Theater System,2,TV and Video,0
1357015,3,9/18/2018,20180921,1049490,0,711,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Proseware All-In-One Photo Printer M200 White,Proseware,White,$62.54 ,$136.00 ,306,"Printers, Scanners & Fax",3,Computers,0
1357015,4,9/18/2018,20180921,1049490,0,730,7,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Proseware All-In-One Photo Printer M200 Green,Proseware,Green,$62.54 ,$136.00 ,306,"Printers, Scanners & Fax",3,Computers,0
1357016,1,9/18/2018,20180921,838631,0,2391,1,EUR,Female,Vita van Erkelens,Almelo,OV,Overijssel,7608 XP,Netherlands,Europe,11/13/1993,Proseware Air conditioner 12000BTU M640 Red,Proseware,Red,$211.53 ,$459.99 ,807,Air Conditioners,8,Home Appliances,0
1357019,1,9/18/2018,20180921,1813538,0,1333,5,USD,Male,George Collier,Albuquerque,NM,New Mexico,87109,United States,North America,4/15/2001,Contoso 4-Line Corded Cordless Telephone M203 Black,Contoso,Black,$15.17 ,$32.99 ,501,Home & Office Phones,5,Cell phones,0
1357020,1,9/18/2018,20180924,1976957,0,172,1,USD,Female,Lucie Zvárová,Joplin,MO,Missouri,64804,United States,North America,3/3/1968,SV 22xDVD X680 Black,Southridge Video,Black,$55.99 ,$169.00 ,202,VCD & DVD,2,TV and Video,0
1357020,2,9/18/2018,20180924,1976957,0,454,1,USD,Female,Lucie Zvárová,Joplin,MO,Missouri,64804,United States,North America,3/3/1968,WWI Desktop PC1.80 E1801 Brown,Wide World Importers,Brown,$137.60 ,$269.90 ,303,Desktops,3,Computers,0
